llegar,прибувати,verb
el edificio,будівля,noun
el paseo,прогулянка,noun
el lugar,місце,noun
comprar,купувати,verb
ver,дивитися,verb
cantar,співати,verb
querer,хотіти,verb
lo mejor,найкраще,phrase
lo peor,найгірше,phrase
el ventilador,вентилятор,noun
la atención,увага,noun
todo,все,pronoun
desde,з,preposition
descyunar,снідати,verb
Cómo puedo ir a,Як я можу дістатися до,phrase
Cúanto cuesta la excursion,Скільки коштує екскурсія,phrase
costar,коштувати,verb
cruza la calle,перейти вулицю,phrase
gira a la derecha,повернути праворуч,phrase
sigue todo recto,йти прямо,phrase
pagar,платити,verb
el vuelo,політ,noun
la estrella,зірка,noun
el translado,переклад,noun
el destino,місце призначення,noun
caminando,йти пішки,verb
facíl,легко,adj
De nada,Не за що,phrase
la familia,сім'я,noun
menor,менший,adj
mejor,кращий,adj
la prima,двоюрідна сестра,noun
el nieto,внук,noun
el marido,муж,noun
pareja,пара,noun
delgada,худий,adj
el pelo,волосся,noun
moreno,темний,adj
castaño,каштановий,adj
serio,серйозний,adj
la barba,борода,noun
el bigote,вуса,noun
lleva,носити,verb
rizado,кудрявий,adj
rubio,русявий,adj
timida,сором'язлива,adj
algodón,бавовна,noun
lana,вовна,noun
piel,шкіра,noun
cuero,шкіра,noun
seda,шовк,noun
vaqueros,джинси,noun
la camiseta,футболка,noun
el punto,точка,noun
envio,відправка,noun
zapatillas,кросівки,noun
aprender,вивчати,verb
comer,їсти,verb
correr,бігати,verb
abrir,відкривати,verb
subir,підніматися,verb
la pelota,м'яч,noun
jugar,грати,verb
decir,говорити,verb
el versiculo,вірш,noun
el bolso,сумка,noun
zapatos de tacón,туфлі на підборах,noun
las zapatillas de deporte,спортивні кросівки,noun
luego,потім,adverb
el sombrero,капелюх,noun
los calcetines,шкарпетки,noun
el hoyo,яма,noun
sucio,брудний,adj
la botella,пляшка,noun
la tira,полоска,noun
el basurero,смітник,noun
llorando,плакати,verb
mira,дивитися,verb
otro,інший,adj
esconderse,ховатися,verb
gordo,товстий,adj
bajo,низький,adj
liso,прямий,adj
falda,спідниця,noun
la camisa,сорочка,noun
calor,тепло,noun
el canape,канапе,noun
gafas,окуляри,noun
vestigo,сукня,noun
sobre,про,preposition
timido,сором'язливий,adj
vago,лінивий,adj
torpe,нерозумний,adj
siempre,завжди,adverb
normalmente,зазвичай,adverb
a menudo,часто,adverb
con frecuencia,часто,adverb
a veces,іноді,adverb
nuncas,ніколи,adverb
Navidad,Різдво,noun
saber,знати,verb
quien,хто,noun
todavía,досі,adverb
junto,біля,adverb
pasear,гуляти,verb
el campo,поле,noun
pintar,фарбувати,verb
jugar,грати,verb
Qué hora es?,Котра година?,phrase
lavarte los dientes,чистити зуби,verb
salgo,виходити,verb
pongo,класти,verb
acostarse,лежати,verb
temprano,рано,adverb
levantarse,підніматися,verb
más,більше,adverb
empezar,починати,verb
comenzar,починати,verb
pedir,просити,verb
dar,давати,verb
venir,приходити,verb
sobrina,племінниця,noun
la noticia,новина,noun
pensar,думати,verb
entender,розуміти,verb
cerrar,закривати,verb
encontar,знаходити,verb
volver,повертатися,verb
reír,сміятися,verb
medir,вимірювати,verb
impedir,запобігати,verb
salir,виходити,verb
dar,давати,verb
caer,падати,verb
traer,приносити,verb
valer,коштувати,verb
conocer,знати,verb
conducir,водити,verb
agradecer,вдячний,verb
nacer,народжуватися,verb
venir,приходити,verb
decir,говорити,verb
oír,слухати,verb
el apellido,прізвище,noun
el horario,розклад,noun
casi,майже,adverb
abiertos,відкритий,adj
desde las,з,preposition
hasta las,до,preposition
reduicido,зменшений,adj
cenar,вечеряти,verb
quedar,залишатися,verb
tomar,брати,verb
despertarse,прокидатися,verb
más tarde,пізніше,adverb
el bocadillo,бутерброд,noun
la instante,момент,noun
divertise,розважатися,verb
paloma,голуб,noun
terminar,закінчувати,verb
durante,під час,preposition
después,після,preposition
el fin de semana,вихідні,noun
sentarse,сидіти,verb
mientras,поки,conjunction
cruzar,переходити,verb
camino,дорога,noun
el guardia,охоронець,noun
la fresa,полуниця,noun
el sabor,смак,noun
ancha,широка,adj
el despacho,кабінет,noun
abajo,внизу,adverb
arriba,вгору,adverb
la cortina,завіса,noun
la compra,покупка,noun
carnicería,м'ясний магазин,noun
pescaderia,рибний магазин,noun
el cumpleaños,день народження,noun
molestar,турбувати,verb
Feliz cumpleaños!,З днем народження!,phrase
la fecha,дата,noun
parecer,здаватися,verb
cena,вечеря,noun
esperan,чекати,verb
antes de,перед,preposition
respuesta,відповідь,noun
preocuparse,турбуватися,verb
siquiera,навіть,adverb
apagar,вимикати,verb
así,отже,adverb
delar un mensaje,залишити повідомлення,phrase
lindo,гарний,adj
el timbre,дзвінок,noun
entrega,доставка,noun
la puerta,двері,noun
ansiosa,нетерпляча,adj
Nos vemos!,До зустрічі!,phrase
Que te vaya bien!,Всього найкращого!,phrase
la entrevista,інтерв'ю,noun
el muchacho,молодий чоловік,noun
anteriar,попередній,adj
la sala,кімната,noun
pasar,проходити,verb
la oficina,офіс,noun
amplio,широкий,adj
la madera,дерево,noun
demasiado,занадто,adverb
el escritorio,письмовий стіл,noun
ubicarse,розташовуватися,verb
extender,розширювати,verb
el apretón,стискання,noun
timidamente,сором'язливо,adverb
costenstar,підтверджувати,verb
lo siento,вибачте,phrase
el curriculum,резюме,noun
revisar,перевіряти,verb
esquiar,кататися на лижах,verb
la verdura,овочі,noun
el recreo,перерва,noun
la cerveza,пиво,noun
la carne,м'ясо,noun
el arroz,рис,noun
la ensalada,салат,noun
la sopa,суп,noun
caliente,гарячий,adj
la leche,молоко,noun
el huevo,яйце,noun
el pan,хліб,noun
a la plancha,на грилі,adverb
marisco,морепродукти,noun
merluza,морська риба,noun
postre,десерт,noun
el pescado,риба,noun
el helado,морозиво,noun
las chuletas,котлети,noun
el cordero,баранина,noun
el cerdo,свинина,noun
el pollo,курка,noun
la tarea,завдання,noun
crecer,зростати,verb
solo,тільки,adverb
la falta,відсутність,noun
compartir,поділитися,verb
el pasatiempo,хобі,noun
escalar,лазити,verb
coger,брати,verb
la pared,стіна,noun
asistir,відвідувати,verb
común,звичайний,adj
elegir,вибирати,verb
el maestro,вчитель,noun
conocimiento,знання,noun
dedicarse,присвячувати,verb
nocturno,ночний,adj
existoso,успішний,adj
la gerente,менеджер,noun
la revista,журнал,noun
el trato,угода,noun
A pesar,незважаючи на,preposition
la ajetreada,зайнятість,noun
la vida,життя,noun
disfruta,насолоджуватися,verb
la charla,розмова,noun
alguno,якийсь,pronoun
limpiar,прибирати,verb
el proveedor,постачальник,noun
soltario,самотній,adj
el suerte,щастя,noun
la dueña,власниця,noun
la librería,книгарня,noun
bastante,достатньо,adverb
nada,нічого,adverb
odio,ненавидіти,verb
curarse,лікувати,verb
el canguro,няня,noun
generamente,загалом,adverb
al principio,спочатку,adverb
el trago,коктейль,noun
lamento molestarte,вибачте за турботу,phrase
la contraseña,пароль,noun
por favor,будь ласка,phrase
por supuesto,звичайно,phrase
De hecho,фактично,phrase
quizá,можливо,adverb
la inspiación,натхнення,noun
la periodista,журналістка,noun
seguramente,безперечно,adverb
montón,багато,adverb
ocurrir,відбуватися,verb
la pintura,фарба,noun
Son embargo,однак,conjunction
enforcarse,концентруватися,verb
la rama,гілка,noun
pronto,швидко,adverb
cuidado,обережно,adverb
el juez,суддя,noun
derecho,право,adj
convertirse,перетворюватися,verb
la cebolla,цибуля,noun
casero,домашній,aje
la piña,ананас,noun
la vesina,сусідка,noun
el recuerdo,спогад,noun
la pablara,слово,noun
la esposa,дружина,noun
cariño,миленький,adj
entusiasmados,захоплені,adj
la esperanza,надія,noun
recordar,пам'ятати,verb
sencilla,проста,adj
la ventanale,вікно,noun
asentir,погоджуватися,verb
decepaionar,розчаровувати,verb
la hormiga,мураха,noun
caminar,йти,verb
la mayoría,більшість,noun
la maleta,валіза,noun
el cargador,зарядний пристрій,noun
el cepillo de dientes,зубна щітка,noun
la manta,ковдра,noun
el vaso,склянка,noun
busco,шукаю,verb
quedarse,залишатися,verb
desconocida,незнайома,adj
la sabana,простирадло,noun
suave,м'який,adj
la almohada,подушка,noun
la gorra,кепка,noun
las botas,чоботи,noun
las chanclas,шльопанці,noun
la linterna,ліхтарик,noun
los prosmaticos,бінокль,noun
la mochila,рюкзак,noun
el guia,гід,noun
el almuerzo,обід,noun
estornudar,чхати,verb
enfrente,напроти,adverb
la certeza,впевненість,noun
el cajon,ящик,noun
último,останній,adj
la caja,коробка,noun
hacia,до,preposition
la beca,стипендія,noun
ahorrar,економити,verb
adelgazar,схуднути,verb
probablemente,мабуть,adverb
purificada,очищена,adj
tirar,кидати,verb
echar,виливати,verb
la prosperidad,процвітання,noun
la costumbre,традиція,noun
finalizar,завершувати,verb
el regalo,подарунок,noun
la chaqueta,куртка,noun
la toalla,рушник,noun
anteojos,окуляри,noun
la aguja,голка,noun
el hilo,нитка,noun
el alfiler,булавка,noun
la cabeza,голова,noun
mismo,той самий,adj
el anillo,кільце,noun
agacharse,нахилятися,verb
la nariz,нос,noun
ambos,обидва,pronoun
golpear,бити,verb
todavía,досі,adverb
el intendar,спроба,noun
el matrimonio,шлюб,noun
la boda,весілля,noun
la vestida de novia,весільна сукня,noun
sacar,виймати,verb
casar,одружувати,verb
el perchero,вішалка,noun
el espejo,дзеркало,noun
probar,пробувати,verb
modesto,скромний,adj
la sombra,тінь,noun
la boca,рот,noun
la oreja,вухо,noun
el dolor,біль,noun
la cabeza,голова,noun
la cara,обличчя,noun
el brazo,рука,noun
el pierna,нога,noun
el pie,стопа,noun
el dedo,палець,noun
la espalada,спина,noun
el cuello,шия,noun
el hombro,плече,noun
la mejilla,щока,noun
la ceja,брова,noun
los labios,губи,noun
triste,сумний,adj
contento,щасливий,adj
asustado,наляканий,adj
toser,кашляти,verb
vomitar,блювати,verb
